Category,Platform,Type,Key Orchestration,Model Routing,Tool/Connectors,HITL,EvalOps,Observability,Guardrails/Policy,Deployment,License,Notable Strengths,Sources
Agent orchestration (OSS),LangGraph,Library + Platform,"Stateful graphs, control over agent loops, persistence",Framework-level (plug any model),"LangChain ecosystem, Python/JS SDKs",Patterns for HITL via nodes/checkpoints,Integrations with eval tools,LangGraph Platform monitoring,Policies via app; integrates with guardrails,Self-host / LangGraph Platform,OSS + commercial,De-facto standard for stateful agent graphs,https://langchain-ai.github.io/langgraph/;https://docs.langchain.com/langgraph-platform;https://www.langchain.com/langgraph
Agent framework,LlamaIndex,Library + hosted,"Agents, tools, memory; advanced RAG pipelines",Multi-provider via adapters,"Connectors to DBs, vector stores, tools",HITL in workflows/tutorials,Integrations incl. TruLens/Ragas,Tracing via integrations,Policy via guardrails integrations,Library + hosted options,OSS + commercial,Strong data/knowledge tools; flexible agents,https://docs.llamaindex.ai/en/stable/use_cases/agents/;https://docs.llamaindex.ai/en/stable/understanding/agent/
Multi-agent framework,AutoGen,Library (Microsoft),"Event-driven multi-agent chats, tool use & code execution",Provider-agnostic,Tools/functions; human-in-the-loop agent,Built-in human participation modes,Research examples & integrations,Logging hooks; SDK tracing,Policy via app & guardrails,Self-host (library),OSS (MIT),Well-documented multi-agent patterns,https://microsoft.github.io/autogen/stable//index.html;https://microsoft.github.io/autogen/0.2/docs/Use-Cases/agent_chat/;https://github.com/microsoft/autogen
Agent framework,CrewAI,Library + SaaS,Crew of specialized agents with planning/execution,Provider-agnostic,"Tools integrations (search, code, etc.)",HITL approval flows common,Partner evals; patterns,Runtime logs & dashboards,Policy via tool permissions,Library + Enterprise,OSS + commercial,Popular multi-agent automation with simple APIs,https://docs.crewai.com/;https://github.com/crewAIInc/crewAI;https://www.crewai.com/
Cloud agent service,Vertex AI Agent Builder,Managed service,"Multi-agent experiences, ADK, Agent Engine",Across Google & external providers,"Agent Garden tools, Google services",Approvals/task routing,Built-in eval/monitoring (Foundry),Agent Engine monitoring,Content safety & governance,Google Cloud,Commercial,Enterprise-grade multi-agent tooling with ADK,https://cloud.google.com/vertex-ai/generative-ai/docs/agent-builder/overview;https://cloud.google.com/products/agent-builder;https://codelabs.developers.google.com/devsite/codelabs/building-ai-agents-vertexai
Cloud agent service,Amazon Bedrock Agents,Managed service,"Agent builder, action groups, KBs, orchestration",Multi-model providers on Bedrock,"AWS services, API actions, KBs",HITL patterns via workflows,Guardrails & evals options,CloudWatch metrics/logs,Amazon Guardrails & policies,AWS,Commercial,"Tight AWS integration, tool/action groups",https://docs.aws.amazon.com/bedrock/latest/userguide/agents-how.html;https://docs.aws.amazon.com/bedrock/latest/userguide/agents.html;https://aws.amazon.com/bedrock/agents/
Cloud agent service,Azure AI Agent Service (Foundry),Managed service,Host/orchestrate agents; tool use; governance,Azure/OpenAI/HuggingFace etc.,Azure services & search; SDKs,HITL templates/preview,Evaluation & monitoring in Foundry,"Tracing, monitoring",Trustworthy AI & content safety,Azure,Commercial,Strong governance + enterprise security,https://learn.microsoft.com/en-us/azure/ai-foundry/;https://learn.microsoft.com/en-us/rest/api/aifoundry/aiagents/;https://learn.microsoft.com/en-us/python/api/overview/azure/ai-agents-readme
Cloud/Platform,Databricks Mosaic AI Agent Framework,Managed + OSS,Build/deploy agents with tools and RAG; notebooks,Provider-agnostic,Databricks data/tools; LangGraph supported,HITL via workflows,Built-in evals & notebooks,Model Serving metrics,Unity governance & policies,Databricks,Commercial,Tight lakehouse integration; evals & serving,https://docs.databricks.com/aws/en/generative-ai/agent-framework/agent-tool;https://docs.databricks.com/aws/en/generative-ai/tutorials/agent-framework-notebook
Gateway / Router,LiteLLM Proxy,Gateway (self-host/SaaS),"Load-balancing, routing, retries, fallbacks","Yes, across multiple providers","Admin UI, budgets, rate limits",—,Usage analytics; budgets,Plugin-based guardrails incl. Lakera,Self-host/SaaS,OSS + commercial,Popular OpenAI-compatible gateway with budgets,https://docs.litellm.ai/docs/simple_proxy;https://docs.litellm.ai/docs/routing;https://docs.litellm.ai/docs/,
Gateway / Router,OpenRouter,Unified API (SaaS),Unified endpoint across many models; fallbacks,"Yes, hundreds of models",SDKs and OpenAI-compatible API,—,Usage metrics,—,SaaS,Commercial,Large model catalog; easy routing/fallbacks,https://openrouter.ai/docs/quickstart;https://openrouter.ai/docs/api-reference/overview,
